Time, Traffic ID, radar measured  rho, radar measured phi, radar measured rho_dot 
0,0,10.609,2.76078,-4.53582
0,1,25.1137,-0.154389,-5.82779
0,2,11.9599,3.14712,-0.904339
33333,0,10.6553,2.78288,-4.34264
33333,1,25.1168,-0.127559,-5.64478
33333,2,12.127,3.17522,-0.722559
66666,0,10.7712,2.74939,-4.17317
66666,1,25.1892,-0.156172,-5.48596
66666,2,12.3635,3.14791,-0.564996
100000,0,10.1504,2.7397,-4.6726
100000,1,24.5244,-0.160806,-5.99656
100000,2,11.8627,3.14459,-1.07688
133333,0,9.96248,2.73749,-4.69213
133333,1,24.2921,-0.157798,-6.02779
133333,2,11.7944,3.14894,-1.10943
166666,0,9.45642,2.71231,-4.44335
166666,1,23.7414,-0.17757,-5.79131
166666,2,11.4076,3.13053,-0.874296
200000,0,9.69796,2.68302,-4.04275
200000,1,23.9377,-0.201264,-5.40361
200000,2,11.7678,3.10822,-0.487982
233333,0,9.59903,2.72999,-4.38784
233333,1,23.7932,-0.1485,-5.76226
233333,2,11.7872,3.1624,-0.848045
266666,0,10.0345,2.6715,-4.78127
266666,1,24.1826,-0.200989,-6.16994
266666,2,12.3403,3.11134,-1.25718
300000,0,9.15455,2.71437,-4.49259
300000,1,23.2562,-0.151889,-5.89624
300000,2,11.5776,3.16189,-0.984971
333333,0,8.65032,2.71818,-4.18106
333333,1,22.7049,-0.141636,-5.60049
333333,2,11.19,3.17363,-0.690749
366666,0,8.74579,2.66309,-4.82948
366666,1,22.7528,-0.190033,-6.26552
366666,2,11.4015,3.12674,-1.35735
400000,0,8.80121,2.68884,-4.37736
400000,1,22.76,-0.157337,-5.8309
400000,2,11.5724,3.16096,-0.924332
433333,0,8.79541,2.59178,-4.76887
433333,1,22.7055,-0.247188,-6.24086
433333,2,11.6813,3.07267,-1.33594
466666,0,8.30619,2.62815,-3.88171
466666,1,22.1669,-0.203341,-5.37316
466666,2,11.3062,3.11811,-0.469941
500000,0,8.06295,2.64003,-4.48898
500000,1,21.8736,-0.18368,-5.98634
500000,2,11.1763,3.13938,-1.15138
533333,0,8.03136,2.65696,-4.37387
533333,1,21.7917,-0.158643,-5.87854
533333,2,11.2556,3.16601,-1.11151
566666,0,7.86617,2.63408,-4.11248
566666,1,21.576,-0.173047,-5.62597
566666,2,11.1987,3.15316,-0.926395
600000,0,8.27062,2.62249,-4.59328
600000,1,21.9296,-0.175783,-6.11719
600000,2,11.7089,3.15194,-1.48445
633333,0,7.81839,2.65483,-4.64215
633333,1,21.4261,-0.134199,-6.17822
633333,2,11.3599,3.19499,-1.6115
666666,0,8.30548,2.61284,-4.18501
666666,1,21.8615,-0.166511,-5.73512
666666,2,11.9475,3.16407,-1.2334
700000,0,7.45971,2.6271,-4.06411
700000,1,20.9636,-0.142131,-5.63029
700000,2,11.1996,3.18976,-1.19231
733333,0,7.07598,2.5688,-4.49512
733333,1,20.5271,-0.189837,-6.07956
733333,2,10.911,3.14327,-1.70379
766666,0,7.22686,2.56296,-4.36888
766666,1,20.6246,-0.184576,-5.97395
766666,2,11.1543,3.14964,-1.65856
800000,0,7.01065,2.5783,-4.35305
800000,1,20.3543,-0.157615,-5.98129
800000,2,11.0278,3.17758,-1.72414
833333,0,7.32252,2.52486,-4.09178
833333,1,20.6112,-0.198859,-5.74598
833333,2,11.4266,3.13717,-1.54453
866666,0,6.57593,2.49047,-4.34701
866666,1,19.8088,-0.220455,-6.03017
866666,2,10.7642,3.11626,-1.88148
900000,0,6.90988,2.47949,-3.74964
900000,1,20.0859,-0.218018,-5.465
900000,2,11.1796,3.11919,-1.3657
933333,0,6.68814,2.49394,-4.55843
933333,1,19.8062,-0.189479,-6.3095
933333,2,11.0365,3.14804,-2.25574
966666,0,6.80409,2.44524,-4.35504
966666,1,19.8629,-0.223375,-6.14564
966666,2,11.2283,3.11423,-2.13303
1000000,0,6.45264,2.40893,-3.53527
1000000,1,19.4508,-0.244136,-5.36952
1000000,2,10.95,3.09331,-1.43525
1033333,0,6.17056,2.41401,-3.75842
1033333,1,19.1066,-0.222709,-5.6408
1033333,2,10.7369,3.11451,-1.7847
1066666,0,5.81127,2.39594,-3.84293
1066666,1,18.6835,-0.223594,-5.77827
1066666,2,10.4423,3.11331,-2.00015
1100000,0,6.20411,2.39253,-4.13123
1100000,1,19.0107,-0.208929,-6.12477
1100000,2,10.8954,3.12757,-2.42444
1133333,0,5.60646,2.35155,-3.59604
1133333,1,18.3453,-0.230891,-5.65344
1133333,2,10.3534,3.10512,-2.03067
1166666,0,5.60083,2.34867,-3.98124
1166666,1,18.2698,-0.213771,-6.10862
1166666,2,10.3986,3.12166,-2.56318
1200000,0,4.86005,2.33683,-3.85349
1200000,1,17.4566,-0.20457,-6.05744
1200000,2,9.70359,3.13018,-2.58908
1233333,0,5.36907,2.36281,-3.09664
1233333,1,17.8906,-0.156464,-5.38426
1233333,2,10.2532,3.17751,-1.99269
1266666,0,5.99945,2.25399,-3.03876
1266666,1,18.4431,-0.242007,-5.41767
1266666,2,10.9187,3.09109,-2.1026
1300000,0,4.55959,2.18993,-3.0321
1300000,1,16.9221,-0.281596,-5.51046
1300000,2,9.50824,3.05051,-2.27157
1333333,0,5.4432,2.18004,-3.52929
1333333,1,17.7211,-0.265773,-6.11581
1333333,2,10.4153,3.06523,-2.95275
1366666,0,4.92293,2.21612,-2.99232
1366666,1,17.1126,-0.202696,-5.69625
1366666,2,9.91213,3.12709,-2.60864
1400000,0,5.09437,2.16034,-3.03468
1400000,1,17.1916,-0.230157,-5.86581
1400000,2,10.0941,3.09828,-2.85324
1433333,0,4.99914,2.08545,-3.02364
1433333,1,16.9996,-0.275357,-5.99225
1433333,2,10.0026,3.05161,-3.05428
1466666,0,4.31602,2.0931,-2.46631
1466666,1,16.215,-0.236647,-5.58315
1466666,2,9.31587,3.0887,-2.71929
1500000,0,4.88445,2.06254,-3.2748
1500000,1,16.6767,-0.234748,-6.55098
1500000,2,9.87315,3.08884,-3.76072
1533333,0,3.771,2.01652,-1.93766
1533333,1,15.4511,-0.24691,-5.3846
1533333,2,8.7406,3.07477,-2.66736
1566666,0,4.58155,1.93734,-2.26446
1566666,1,16.1437,-0.290865,-5.89373
1566666,2,9.52375,3.02874,-3.24891
1600000,0,4.05939,1.98848,-1.93923
1600000,1,15.4972,-0.203153,-5.7624
1600000,2,8.96553,3.11421,-3.18933
1633333,0,4.21262,1.87554,-2.08382
1633333,1,15.5195,-0.278232,-6.11232
1633333,2,9.07367,3.03671,-3.61028
1666666,0,4.61934,1.85255,-1.77702
1666666,1,15.7883,-0.262163,-6.02188
1666666,2,9.42593,3.05017,-3.59008
1700000,0,4.10747,1.83917,-1.53864
1700000,1,15.1311,-0.235372,-6.01031
1700000,2,8.84988,3.07414,-3.64788
1733333,0,4.46358,1.73879,-1.07041
1733333,1,15.3342,-0.294594,-5.77852
1733333,2,9.1318,3.01189,-3.48453
1766666,0,4.04951,1.7305,-0.760177
1766666,1,14.7591,-0.260903,-5.71325
1766666,2,8.63326,3.04231,-3.48669
1800000,0,3.61947,1.71047,-0.688952
1800000,1,14.1597,-0.238298,-5.89425
1800000,2,8.10824,3.06141,-3.734
1833333,0,3.84834,1.65238,-0.267577
1833333,1,14.2108,-0.253269,-5.73085
1833333,2,8.23143,3.04267,-3.63569
1866666,0,3.7713,1.62145,-0.598832
1866666,1,13.9473,-0.240814,-6.32416
1866666,2,8.03792,3.05108,-4.29277
1900000,0,3.70846,1.47556,-0.0546124
1900000,1,13.6892,-0.343264,-6.0443
1900000,2,7.84772,2.94429,-4.07521
1933333,0,4.07913,1.53079,0.793275
1933333,1,13.8558,-0.244754,-5.46123
1933333,2,8.08016,3.03814,-3.55284
1966666,0,4.31007,1.46215,1.05858
1966666,1,13.8739,-0.270505,-5.45936
1966666,2,8.16208,3.00739,-3.6099
2000000,0,3.5419,1.35288,1.19684
2000000,1,12.8842,-0.337468,-5.58137
2000000,2,7.23423,2.93506,-3.78891
2033333,0,3.81528,1.33064,1.32397
2033333,1,12.9274,-0.318184,-5.70967
2033333,2,7.33747,2.94859,-3.97208
2066666,0,4.01384,1.27019,1.52412
2066666,1,12.8874,-0.338091,-5.75862
2066666,2,7.35569,2.9225,-4.07356
2100000,0,3.96003,1.21084,1.95131
2100000,1,12.5869,-0.35803,-5.57289
2100000,2,7.11166,2.89593,-3.93776
2133333,0,4.09531,1.22435,1.9541
2133333,1,12.4675,-0.306382,-5.80283
2133333,2,7.0472,2.94045,-4.21476
2166666,0,3.96993,1.13529,2.01318
2166666,1,12.0799,-0.358693,-5.96689
2166666,2,6.71296,2.88049,-4.42271
2200000,0,4.30321,1.13782,2.27024
2200000,1,12.1437,-0.320905,-5.81211
2200000,2,6.8287,2.91006,-4.3083
2233333,0,4.51935,1.0812,2.4859
2233333,1,12.0872,-0.343548,-5.69127
2233333,2,6.82275,2.87859,-4.22394
2266666,0,4.87081,1.04857,2.80041
2266666,1,12.1628,-0.343472,-5.46433
2266666,2,6.94793,2.86917,-4.02914
2300000,0,4.58864,1.03273,2.32418
2300000,1,11.6021,-0.327865,-6.02106
2300000,2,6.4357,2.87457,-4.6132
2333333,0,4.58757,1.01922,2.96359
2333333,1,11.32,-0.311167,-5.45529
2333333,2,6.20119,2.88029,-4.06941
2366666,0,4.74306,0.945121,2.75578
2366666,1,11.192,-0.356281,-5.73015
2366666,2,6.12024,2.82335,-4.36027
2400000,0,4.41056,0.959236,3.42301
2400000,1,10.574,-0.314379,-5.1236
2400000,2,5.54875,2.85252,-3.76306
2433333,0,4.89085,0.86312,3.15139
2433333,1,10.7668,-0.383883,-5.44977
2433333,2,5.78794,2.76931,-4.09115
2466666,0,4.6878,0.769889,3.62547
2466666,1,10.2746,-0.451651,-5.02435
2466666,2,5.34213,2.68677,-3.65936
2500000,0,5.69742,0.758379,3.72444
2500000,1,10.9936,-0.438822,-4.96836
2500000,2,6.10782,2.68368,-3.58776
2533333,0,5.39578,0.785038,2.81491
2533333,1,10.4,-0.388925,-5.91541
2533333,2,5.56159,2.71643,-4.50889
2566666,0,5.21151,0.748106,3.01748
2566666,1,9.92254